snapshot_id,event_id,district,lat,lon,label,lead_hours,month,day_of_year,humidity_spike_3h,humidity_spike_6h,humidity_max,pressure_drop_3h,pressure_drop_6h,precip_rate_max_mm_hr,precip_total_mm,precip_acceleration,cloud_cover_max_pct,wind_gust_max_ms,humidity_pressure_interaction,elevation_m
NEG002_L3,NEG002,Kinnaur,32.5,78.6,0,3,9,261,7.409999999999997,18.57,99.71,-0.0799999999999983,-0.2100000000000008,2.2,-2177860.32,98999.02,100.0,6.85,-3.8997000000000144,4443.0
NEG002_L6,NEG002,Kinnaur,32.5,78.6,0,6,9,261,11.25,28.79,99.71,-0.1300000000000025,-0.0900000000000034,2.2,-1880864.2,-99002.63,100.0,6.85,-2.591100000000098,4443.0
NEG002_L9,NEG002,Kinnaur,32.5,78.6,0,9,9,261,1.759999999999998,0.8999999999999986,99.71,0.0399999999999991,0.1200000000000045,2.2,-1583875.09,98987.45000000004,100.0,6.85,0.1080000000000039,4443.0
NEG003_L0,NEG003,Kullu,32.0167,77.3333,0,0,9,246,16.0,0.0,100.0,0.1199999999999974,0.1099999999999994,3.4,-2474212.99,-98985.58,100.0,5.0,0.0,1744.0
NEG003_L3,NEG003,Kullu,32.0167,77.3333,0,3,9,245,0.0,0.7199999999999989,100.0,-0.009999999999998,-0.009999999999998,3.4,-2177246.37,98998.49,100.0,5.0,-0.0071999999999985,1744.0
NEG003_L6,NEG003,Kullu,32.0167,77.3333,0,6,9,245,20.28,22.340000000000003,100.0,-0.0,0.0700000000000002,3.4,-1880264.36,-98997.21,100.0,5.0,1.5638000000000063,1744.0
NEG003_L9,NEG003,Kullu,32.0167,77.3333,0,9,9,245,0.8499999999999943,1.0799999999999983,100.0,0.0700000000000002,0.1000000000000014,3.4,-1583271.0099999998,99002.2,100.0,5.0,0.1080000000000013,1744.0
NEG004_L0,NEG004,Kullu,32.1167,77.3333,0,0,8,235,-1.4699999999999989,-5.349999999999994,100.0,0.0499999999999971,-0.0400000000000062,2.0,-2471866.54,-98961.3,100.0,5.08,0.2140000000000332,3324.0
NEG004_L3,NEG004,Kullu,32.1167,77.3333,0,3,8,234,-0.3100000000000023,0.2299999999999897,100.0,-0.0900000000000034,-0.1300000000000025,2.0,-2174946.74,98983.05999999998,100.0,5.08,-0.0298999999999992,3324.0
NEG004_L6,NEG004,Kullu,32.1167,77.3333,0,6,8,234,1.6500000000000057,12.240000000000007,100.0,-0.0399999999999991,0.0300000000000011,2.0,-1877989.34,-99004.88999999998,100.0,5.08,0.3672000000000142,3324.0
NEG004_L9,NEG004,Kullu,32.1167,77.3333,0,9,8,234,1.4699999999999989,2.789999999999992,100.0,0.0700000000000002,0.1099999999999994,2.0,-1581194.13,98654.15,100.0,5.08,0.3068999999999975,3324.0
NEG005_L0,NEG005,Mandi,31.5333,77.15,0,0,9,262,-27.36,4.280000000000001,97.0,0.0400000000000062,-0.0699999999999931,1.9,-2474994.15,-99000.0,92.0,3.51,-0.2995999999999709,2187.0
NEG005_L3,NEG005,Mandi,31.5333,77.15,0,3,9,261,-2.219999999999999,-11.209999999999994,97.0,-0.1099999999999994,-0.1400000000000005,1.9,-2177994.15,99000.0,92.0,3.51,1.5694000000000057,2187.0
NEG005_L6,NEG005,Mandi,31.5333,77.15,0,6,9,261,-12.430000000000009,21.28,96.0,-0.0300000000000011,0.1199999999999903,1.9,-1880994.15,-99000.11,92.0,3.51,2.553599999999794,2187.0
NEG005_L9,NEG005,Mandi,31.5333,77.15,0,9,9,261,1.490000000000002,3.25,77.0,0.1499999999999914,0.25,1.9,-1583994.26,99000.96,71.0,3.51,0.8125,2187.0
NEG006_L0,NEG006,Kullu,32.2432,77.1892,0,0,7,204,3.0,0.0,100.0,0.0399999999999991,-0.0,0.5,-2474285.85,-98983.74000000002,100.0,4.68,-0.0,1878.0
NEG006_L3,NEG006,Kullu,32.2432,77.1892,0,3,7,203,0.0,0.1599999999999966,100.0,-0.0399999999999991,-0.0700000000000002,0.5,-2177345.05,98997.28,100.0,4.68,-0.0111999999999998,1878.0
